Key,Japanese,Chinese,Korean
@@locale,ja,zh,ko
letsElevator,レッツ・エレベーター・ネオ,操作乐童电梯NEO,렛츠 엘리베이터 네오
thisApp,このアプリはすごくリアルなエレベーターシミュレーターです。,这个应用程序是一个非常逼真的电梯模拟器。,이 앱은 정말 실감나는 엘리베이터 시뮬레이터입니다.
menu,メニュー,菜单,메뉴
settings,各種設定,设置,각종 설정
terms,利用規約・プライバシーポリシー,条款和隐私政策,이용 약관 및 개인정보 처리 방침
aboutLetsElevator,レッツ・エレベーターとは,关于操作乐童电梯,렛츠 엘리베이터 란
officialOnlineShop,公式オンラインショップ,官方在线商店,공식 온라인 숍
start,スタート,开始,시작
back,戻る,返回,뒤로
ok,OK,确定,확인
cancel,キャンセル,取消,취소
edit,変更,编辑,변경
basement,地下,地下,지하
floor,{NUMBER}階です。　,{NUMBER}层。,{NUMBER}층에 도착하셨습니다. 
ground,地上階です。　,地面层。,지상층에 도착하셨습니다. 
openDoor,ドアがひらきます。　,门开。,문이 열립니다. 
closeDoor,ドアがしまります。　,门关。,문이 닫힙니다. 
pushNumber,行き先階ボタンを押してください。　,请按目的地楼层按钮。,가고 싶은 층 버튼을 누르십시오.
upFloor,うえにまいります。　,向上移动。,올라갑니다. 
downFloor,したにまいります。　,向下移动。,내려갑니다. 
notStop,ランプが点灯しない階には止まりません。　,不停在未亮灯的楼层。,그 층에는 멈추지 않습니다. 
emergency,エレベーターの状態を確認するため、緊急停止します。 ,为检查电梯状况，进行紧急停车。,엘리베이터의 상태를 확인하기 위해 긴급 정지합니다. 
return1st,確認が完了しました。一階に戻ります。 ,检查完成，返回一楼。,확인이 완료되었습니다. 1층으로 돌아갑니다.
changeNumber,行き先階数の変更,更改目的地楼层,목적지 층수 변경
changeBasementNumber,地下階数の変更,更改地下楼层,지하 층수 변경
changeImage,フロア画像の変更,更改楼层图片,플로어 이미지 변경
selectPhoto,アルバムから画像選択,从相册选择图片,앨범에서 이미지 선택
cropPhoto,写真の切り取り,裁剪图片,이미지 자르기
eVMile,EVマイレージ,电梯里程,EV 마일리지
aboutEVMile,エレベーターの上下で貯まるポイントです。EVマイレージが貯まると、各種設定にて、階数や行き先階の画像などが変更できるようになります。,通过电梯上下行积累的点数。当积分累积到一定程度时，可以在设置中更改楼层数和目的地楼层图片。,"엘리베이터의 상하 운동으로 쌓이는 포인트입니다. EV 마일리지가 쌓이면, 다양한 설정에서 층수나 목적지 층의 이미지 등을 변경할 수 있게 됩니다."
rooftop,屋上階です。　,屋顶层。,옥상 층에 도착하셨습니다. 
vip,VIPルーム階です。　,VIP室层。,VIP 룸 층에 도착하셨습니다. 
restaurant,レストラン階です。 ,餐厅层。,레스토랑 층에 도착하셨습니다. 
spa,温泉階です。　,温泉层。,온천 층에 도착하셨습니다. 
arcade,ゲームセンター階です。　,游戏中心层。,게임 센터 층에 도착하셨습니다. 
foodCourt,フードコート階です。　,美食广场层。,푸드 코트 층에 도착하셨습니다. 
indoorPark,屋内公園階です。　,室内公园层。,실내 공원 층에 도착하셨습니다. 
supermarket,スーパーマーケット階です。　,超市层。,슈퍼마켓 층에 도착하셨습니다. 
station,地下鉄駅階です。　,地铁站层。,지하철 역 층에 도착하셨습니다. 
parking,駐車場階です。　,停车场层。,주차장 층에 도착하셨습니다. 
apparel,アパレルショップ階です。　,服装店层。,의류 매장 층에 도착하셨습니다. 
electronics,家電量販店階です。 ,电器店层。,가전제품 매장 층에 도착하셨습니다. 
outdoor,アウトドア用品店階です。　,户外用品店层。,아웃도어 용품점 층에 도착하셨습니다. 
bookstore,書店階です。　,书店层。,서점 층에 도착하셨습니다. 
candy,お菓子屋です。　,糖果店。,사탕 가게 층에 도착하셨습니다. 
toy,おもちゃ屋階です。　,玩具店层。,장난감 가게 층에 도착하셨습니다. 
luxury,高級ブティック階です。　,奢侈品店层。,고급 부티크 층에 도착하셨습니다. 
sports,スポーツ用品店階です。　,体育用品店层。,스포츠 용품점 층에 도착하셨습니다. 
gym,フィットネスジム階です。　,健身房层。,피트니스 짐 층에 도착하셨습니다. 
nameRooftop,屋上階,屋顶,옥상
nameVip,VIPルーム,VIP室,VIP 룸
nameRestaurant,レストラン,餐厅,레스토랑
nameSpa,温泉,温泉,온천
nameArcade,ゲームセンター,游戏中心,게임 센터
nameFoodCourt,フードコート,美食广场,푸드 코트
nameIndoorPark,屋内公園,室内公园,실내 공원
nameSupermarket,スーパーマーケット,超市,슈퍼마켓
nameStation,地下鉄駅,地铁站,지하철 역
nameParking,駐車場,停车场,주차장
nameApparel,アパレルショップ,服装店,의류 매장
nameElectronics,家電量販店,电器店,가전제품 매장
nameOutdoor,アウトドア用品店,户外用品店,아웃도어 용품점
nameBookstore,書店,书店,서점
nameCandy,お菓子屋,糖果店,사탕 가게
nameToy,おもちゃ屋,玩具店,장난감 가게
nameLuxury,高級ブティック,奢侈品店,고급 부티크
nameSports,スポーツ用品店,体育用品店,스포츠 용품점
nameGym,フィットネスジム,健身房,피트니스 짐
movingElevator,エレベーターが動作中のため少々お待ちください,电梯运行中，请稍候,엘리베이터가 운행 중이므로 잠시 기다려 주십시오.
photoAccessRequired,写真へのアクセス権が必要です,需要照片访问权限,사진 접근 권한이 필요합니다.
photoAccessPermission,設定画面で写真へのアクセス権を許可してください。,请在设置中允许访问照片。,앱 설정에서 사진 접근을 허용해주세요.